# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
1,0,7.5,1,5,7.5,5,1,4,5,5,4,2,5,3,5,1,3,4,5,5,4
2,7.5,20.9,6,14,13.4,9,1,4,1,5,1,1,5,1,5,4,1,3,2,5,1
3,20.9,23.5,15,16,2.6,2,1,3,3,2,1,1,4,1,4,2,1,4,3,2,1
4,23.5,29.8,17,20,6.3,4,1,2,1,1,1,1,2,2,3,2,1,2,1,1,1
5,29.8,34.6,21,23,4.8,3,1,1,1,2,1,1,1,1,3,2,1,1,1,3,1
6,34.6,39.6,24,26,5,3,3,5,5,2,4,3,3,4,4,4,3,5,4,3,1
7,39.6,45.2,27,30,5.6,4,2,4,2,5,4,2,3,3,5,3,2,4,2,5,1
8,45.2,55.6,31,37,10.4,7,1,1,2,3,1,2,1,2,4,4,1,2,2,4,4
9,55.6,58.3,38,39,2.7,2,1,1,2,5,1,1,1,4,5,1,1,1,4,5,1
10,58.3,62.7,40,42,4.4,3,2,1,2,3,4,3,1,3,5,4,1,2,3,5,4
11,62.7,66.1,43,44,3.4,2,2,4,4,3,4,4,5,3,4,4,2,1,3,4,1
12,66.1,72.4,45,48,6.3,4,2,4,3,2,1,3,5,1,3,1,1,2,2,3,1
13,72.4,80,49,53,7.6,5,1,4,5,3,1,3,4,2,4,1,1,2,2,3,1
14,80,81.7,54,54,1.7,1,1,3,4,3,1,3,4,1,4,1,1,1,1,2,1
15,81.7,85.4,55,57,3.7,3,3,3,3,5,1,3,4,3,5,4,3,4,3,5,3
16,85.4,88.4,58,59,3,2,3,3,1,5,1,3,4,1,5,3,3,2,1,5,1
17,88.4,89.9,60,60,1.5,1,1,3,1,2,1,3,4,1,3,1,1,2,1,2,1
18,89.9,92.4,61,62,2.5,2,3,3,3,5,1,3,4,2,5,3,3,4,4,5,5
19,92.4,93.76,63,63,1.36,1,1,4,4,5,5,1,4,4,5,1,1,3,4,5,1
20,93.76,98.2,64,65,4.44,2,1,4,1,5,1,5,3,1,5,3,1,1,1,5,1
21,98.2,101.9,66,68,3.7,3,1,4,1,4,1,5,3,1,4,3,1,1,1,3,1
22,101.9,106.4,69,71,4.5,3,3,4,4,4,1,4,3,4,4,3,3,3,4,4,1
23,106.4,110,72,73,3.6,2,5,5,4,4,1,5,5,4,4,4,5,5,5,4,1
24,110,113.3,74,76,3.3,3,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5
25,113.3,117.5,77,78,4.2,2,3,3,4,5,3,3,4,4,5,4,3,3,4,5,1
26,117.5,119,79,79,1.5,1,1,4,3,5,5,1,4,2,5,4,1,2,2,5,4
27,119,120.5,80,80,1.5,1,5,4,5,3,1,5,4,5,4,1,5,5,5,3,1
28,120.5,122.8,81,82,2.3,2,3,4,2,5,1,4,3,2,5,1,3,1,2,4,1
29,122.8,127.8,83,85,5,3,5,2,5,5,5,5,4,5,5,2,5,5,5,5,4
30,127.8,130,86,87,2.2,2,5,3,5,5,5,5,4,5,5,2,5,3,5,5,4
31,130,132.7,88,88,2.7,1,1,3,2,2,1,2,3,2,3,1,1,1,2,3,1
32,132.7,136.2,89,91,3.5,3,1,2,2,4,1,4,2,2,4,4,1,1,2,2,1
33,136.2,137.8,92,92,1.6,1,1,3,2,2,1,2,2,2,2,1,1,1,2,2,1
34,137.8,141.6,93,94,3.8,2,3,2,4,3,4,3,3,4,4,2,3,4,5,4,4
35,141.6,143.3,95,96,1.7,2,1,2,1,2,1,1,3,1,2,1,1,1,1,2,1
36,143.3,144.9,97,97,1.6,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,1
37,144.9,146.8,98,98,1.9,1,1,2,2,3,1,1,4,1,3,1,1,2,1,2,1
38,146.8,149.5,99,100,2.7,2,1,3,2,2,1,5,2,2,3,1,1,1,2,2,1
39,149.5,151,101,101,1.5,1,1,3,1,2,1,5,2,1,2,2,1,1,1,2,1
40,151,152.7,102,102,1.7,1,1,3,3,2,1,3,2,1,3,2,1,1,1,2,1
41,152.7,153.5,103,102,0.8,0,1,3,3,2,1,3,2,1,3,1,1,1,1,2,1
42,153.5,154.4,103,103,0.9,1,1,3,1,1,1,3,2,1,2,1,1,1,1,1,1
43,154.4,155.1,104,103,0.7,0,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1
44,155.1,161.5,104,108,6.4,5,4,2,4,1,1,5,4,4,2,1,4,2,5,2,4
45,161.5,166.6,109,111,5.1,3,4,3,1,3,1,1,1,1,3,2,1,2,1,3,1
46,166.6,176.1,112,117,9.5,6,3,4,4,3,5,3,3,3,3,1,3,5,5,3,5
47,176.1,180.9,118,121,4.8,4,1,4,1,3,2,5,4,1,3,1,1,4,1,3,1
48,180.9,185.5,122,124,4.6,3,1,4,1,4,2,5,4,1,4,4,1,4,1,3,1
49,185.5,189.8,125,127,4.3,3,1,4,1,1,1,3,4,1,1,3,1,4,1,1,1
50,189.8,194,128,129,4.2,2,3,1,2,3,1,3,3,2,4,4,3,3,3,4,4
51,194,199.4,130,133,5.4,4,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1
52,199.4,200.9,134,134,1.5,1,1,1,1,2,1,1,1,1,2,3,1,1,1,2,1
53,200.9,202.9,135,135,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1
54,202.9,206.6,136,138,3.7,3,4,1,4,3,1,5,2,3,3,1,5,4,5,3,1
55,206.6,211.2,139,141,4.6,3,2,1,1,2,1,2,2,1,3,3,2,1,1,2,1
56,211.2,213,142,142,1.8,1,4,2,5,3,1,5,2,3,4,1,5,4,5,3,4
